epoch,temperature,currentCost,bestCost,acceptedWorse,acceptedBetter
1,50000,6.92509e+07,6.86735e+07,243542,243382
2,49750,6.92358e+07,6.86094e+07,243616,243238
3,49501.2,6.93018e+07,6.83818e+07,243492,243313
4,49253.7,6.88337e+07,6.83818e+07,242945,243875
5,49007.5,6.92485e+07,6.83818e+07,243369,243397
6,48762.4,6.94713e+07,6.83818e+07,243329,243441
7,48518.6,6.94793e+07,6.83818e+07,243002,243466
8,48276,6.9038e+07,6.83818e+07,243147,243266
9,48034.7,6.87301e+07,6.83818e+07,243440,243000
10,47794.5,6.90047e+07,6.83818e+07,243155,243389
11,47555.5,6.91819e+07,6.81871e+07,243298,243053
12,47317.7,6.91702e+07,6.81871e+07,243519,242603
13,47081.1,6.94417e+07,6.81871e+07,242992,242976
14,46845.7,6.89784e+07,6.81871e+07,242798,243383
15,46611.5,6.90598e+07,6.81871e+07,242859,243008
16,46378.4,6.96614e+07,6.81871e+07,242804,242993
17,46146.6,6.85877e+07,6.81871e+07,242917,243030
18,45915.8,6.92357e+07,6.81871e+07,242923,242751
19,45686.2,6.89641e+07,6.81871e+07,242740,243211
20,45457.8,6.93218e+07,6.81871e+07,243131,242431
21,45230.5,6.89989e+07,6.81871e+07,242475,242917
22,45004.4,6.91181e+07,6.81871e+07,242929,242765
23,44779.3,6.89629e+07,6.81871e+07,242377,243198
24,44555.5,6.92115e+07,6.81871e+07,242029,243375
25,44332.7,6.89731e+07,6.81871e+07,242885,242160
26,44111,6.91206e+07,6.81871e+07,242575,242400
27,43890.5,6.92456e+07,6.81871e+07,242521,242696
28,43671,6.91614e+07,6.81871e+07,242670,242421
29,43452.6,6.89881e+07,6.81871e+07,242388,242680
30,43235.4,6.91964e+07,6.81867e+07,242311,242675
31,43019.2,6.90106e+07,6.797e+07,242194,242653
32,42804.1,6.88493e+07,6.797e+07,242389,242343
33,42590.1,6.94083e+07,6.79525e+07,242504,242076
34,42377.1,6.89454e+07,6.79525e+07,242002,242651
35,42165.3,6.9041e+07,6.79525e+07,242190,242282
36,41954.4,6.88438e+07,6.79525e+07,242280,242281
37,41744.7,6.86562e+07,6.79525e+07,242306,242309
38,41535.9,6.8825e+07,6.79525e+07,242147,242100
39,41328.3,6.92293e+07,6.79525e+07,241821,242169
40,41121.6,6.89313e+07,6.79525e+07,241796,242193
41,40916,6.89617e+07,6.79503e+07,242197,241947
42,40711.4,6.98018e+07,6.79503e+07,242007,241830
43,40507.9,6.88852e+07,6.79503e+07,241561,242102
44,40305.3,6.88448e+07,6.79503e+07,242237,241616
45,40103.8,6.90712e+07,6.79503e+07,241874,241976
46,39903.3,6.87378e+07,6.79503e+07,241582,241975
47,39703.8,6.85101e+07,6.79503e+07,241737,241870
48,39505.2,6.88952e+07,6.79503e+07,241389,242197
49,39307.7,6.90362e+07,6.78867e+07,241628,241781
50,39111.2,6.86933e+07,6.78867e+07,241542,241987
51,38915.6,6.87835e+07,6.78867e+07,241573,241584
52,38721,6.86743e+07,6.78867e+07,241500,241771
53,38527.4,6.91466e+07,6.78603e+07,241366,241318
54,38334.8,6.91927e+07,6.78603e+07,241481,241545
55,38143.1,6.87767e+07,6.78603e+07,241560,241170
56,37952.4,6.90456e+07,6.78603e+07,241472,241247
57,37762.7,6.86686e+07,6.78603e+07,240876,241569
58,37573.8,6.89108e+07,6.78603e+07,241534,240929
59,37386,6.8888e+07,6.78603e+07,240871,241713
60,37199,6.87e+07,6.78603e+07,241612,240752
61,37013,6.87742e+07,6.77942e+07,241185,240993
62,36828,6.81394e+07,6.77942e+07,240812,241272
63,36643.8,6.89676e+07,6.77942e+07,241180,240917
64,36460.6,6.90988e+07,6.77942e+07,240866,241133
65,36278.3,6.89218e+07,6.77942e+07,240517,241294
66,36096.9,6.88656e+07,6.77942e+07,240751,240948
67,35916.4,6.86955e+07,6.77942e+07,240793,240992
68,35736.9,6.85782e+07,6.77035e+07,241022,240703
69,35558.2,6.84671e+07,6.77035e+07,240463,241174
70,35380.4,6.89856e+07,6.77035e+07,240752,240654
71,35203.5,6.86041e+07,6.77035e+07,240462,241086
72,35027.5,6.86934e+07,6.77035e+07,240463,240736
73,34852.3,6.87126e+07,6.77035e+07,240630,240515
74,34678.1,6.83e+07,6.77035e+07,240586,240402
75,34504.7,6.82856e+07,6.77035e+07,240522,240513
76,34332.2,6.84287e+07,6.77035e+07,240252,240511
77,34160.5,6.83391e+07,6.77035e+07,240335,240789
78,33989.7,6.87325e+07,6.77035e+07,239992,240692
79,33819.7,6.89009e+07,6.77035e+07,240402,239975
80,33650.6,6.83099e+07,6.77035e+07,240143,240301
81,33482.4,6.8594e+07,6.7562e+07,240103,240263
82,33315,6.85055e+07,6.74519e+07,240126,240012
83,33148.4,6.83554e+07,6.74519e+07,240089,240118
84,32982.7,6.85022e+07,6.74519e+07,239846,240206
85,32817.7,6.87941e+07,6.74519e+07,240083,239741
86,32653.7,6.80675e+07,6.74519e+07,240189,239773
87,32490.4,6.86917e+07,6.74519e+07,240168,239677
88,32327.9,6.88127e+07,6.74519e+07,239579,240216
89,32166.3,6.85917e+07,6.74519e+07,240009,239812
90,32005.5,6.84406e+07,6.74519e+07,239566,239896
91,31845.4,6.80479e+07,6.74519e+07,239615,239505
92,31686.2,6.866e+07,6.74519e+07,239892,239407
93,31527.8,6.82829e+07,6.74519e+07,239462,239657
94,31370.1,6.82035e+07,6.74519e+07,239639,239648
95,31213.3,6.874e+07,6.74519e+07,239602,239063
96,31057.2,6.87311e+07,6.74519e+07,239663,239067
97,30901.9,6.81517e+07,6.74519e+07,239233,239410
98,30747.4,6.84283e+07,6.74519e+07,239509,239083
99,30593.7,6.80638e+07,6.74519e+07,238908,239374
100,30440.7,6.8391e+07,6.74519e+07,239005,239160
101,30288.5,6.80893e+07,6.74452e+07,239153,239161
102,30137.1,6.8327e+07,6.74452e+07,239165,239011
103,29986.4,6.84744e+07,6.74452e+07,239229,238916
104,29836.5,6.78061e+07,6.74452e+07,238984,238969
105,29687.3,6.84969e+07,6.74452e+07,239013,238732
106,29538.8,6.84204e+07,6.74286e+07,238159,239529
107,29391.1,6.85177e+07,6.74286e+07,238622,238792
108,29244.2,6.80203e+07,6.74286e+07,238803,238563
109,29098,6.82184e+07,6.74286e+07,238505,238620
110,28952.5,6.84338e+07,6.74286e+07,238576,238849
111,28807.7,6.8273e+07,6.74286e+07,238942,238129
112,28663.7,6.82778e+07,6.70164e+07,238754,238428
113,28520.4,6.77806e+07,6.70164e+07,238470,238529
114,28377.8,6.87023e+07,6.70164e+07,238202,238709
115,28235.9,6.79742e+07,6.70164e+07,237714,238642
116,28094.7,6.84359e+07,6.70164e+07,238439,237890
117,27954.2,6.81701e+07,6.70164e+07,238061,238351
118,27814.4,6.8125e+07,6.70164e+07,238216,238150
119,27675.4,6.8152e+07,6.70164e+07,237810,238428
120,27537,6.83693e+07,6.70164e+07,238096,238204
121,27399.3,6.80728e+07,6.70164e+07,238066,238071
122,27262.3,6.78766e+07,6.70164e+07,237879,237873
123,27126,6.84802e+07,6.70164e+07,237724,237976
124,26990.4,6.82713e+07,6.70164e+07,237601,237828
125,26855.4,6.82229e+07,6.70164e+07,237977,237313
126,26721.1,6.78196e+07,6.70164e+07,237885,237363
127,26587.5,6.77972e+07,6.70164e+07,237363,237720
128,26454.6,6.78039e+07,6.70164e+07,237546,237383
129,26322.3,6.81152e+07,6.70164e+07,237700,237237
130,26190.7,6.79397e+07,6.70164e+07,237057,237596
131,26059.8,6.82072e+07,6.70164e+07,237311,237559
132,25929.5,6.85267e+07,6.70164e+07,237377,237353
133,25799.8,6.78582e+07,6.70164e+07,237326,237276
134,25670.8,6.80065e+07,6.70164e+07,237257,236932
135,25542.5,6.82324e+07,6.70164e+07,236962,237304
136,25414.8,6.75181e+07,6.70164e+07,236805,237150
137,25287.7,6.8023e+07,6.70164e+07,237229,236498
138,25161.2,6.77655e+07,6.70164e+07,236499,237229
139,25035.4,6.80843e+07,6.70164e+07,236818,236585
140,24910.3,6.76434e+07,6.70164e+07,236449,237145
141,24785.7,6.79634e+07,6.70164e+07,236889,236490
142,24661.8,6.80103e+07,6.70164e+07,236689,236537
143,24538.5,6.79286e+07,6.69151e+07,236797,236036
144,24415.8,6.79357e+07,6.69151e+07,236262,236833
145,24293.7,6.8225e+07,6.69151e+07,236425,236437
146,24172.2,6.78771e+07,6.69151e+07,236248,236517
147,24051.4,6.78077e+07,6.69151e+07,236785,235839
148,23931.1,6.76039e+07,6.6855e+07,236191,236165
149,23811.5,6.79014e+07,6.6855e+07,235838,236380
150,23692.4,6.77161e+07,6.6855e+07,236440,235743
151,23573.9,6.75319e+07,6.6855e+07,235914,236260
152,23456.1,6.74773e+07,6.6855e+07,235040,236594
153,23338.8,6.77623e+07,6.6855e+07,235808,235826
154,23222.1,6.79602e+07,6.6855e+07,235972,235656
155,23106,6.72943e+07,6.6855e+07,235219,236178
156,22990.5,6.7602e+07,6.6855e+07,235853,235278
157,22875.5,6.73344e+07,6.67281e+07,235094,235788
158,22761.1,6.74596e+07,6.67281e+07,235649,235572
159,22647.3,6.77858e+07,6.67281e+07,235432,235295
160,22534.1,6.7573e+07,6.67281e+07,235522,235415
161,22421.4,6.73468e+07,6.66256e+07,235171,235115
162,22309.3,6.78796e+07,6.66256e+07,235225,235105
163,22197.8,6.75688e+07,6.66256e+07,235034,235331
