epoch,temperature,currentCost,bestCost,acceptedWorse,acceptedBetter
1,50000,7.21737e+07,7.0822e+07,238445,238420
2,49750,7.12955e+07,7.07246e+07,238568,238125
3,49501.2,7.20014e+07,7.07246e+07,238656,238120
4,49253.7,7.23635e+07,7.07158e+07,238335,238266
5,49007.5,7.15872e+07,7.07158e+07,238496,238104
6,48762.4,7.13643e+07,7.07158e+07,238146,238347
7,48518.6,7.17659e+07,7.06484e+07,238164,238011
8,48276,7.19231e+07,7.06484e+07,237994,237853
9,48034.7,7.17214e+07,7.06484e+07,238099,238050
10,47794.5,7.23187e+07,7.0546e+07,237971,237826
11,47555.5,7.21189e+07,7.0546e+07,237804,237900
12,47317.7,7.21773e+07,7.0546e+07,238590,236952
13,47081.1,7.17779e+07,7.0546e+07,237878,237525
14,46845.7,7.13909e+07,7.0546e+07,238220,237122
15,46611.5,7.10781e+07,7.0546e+07,237743,237715
16,46378.4,7.17354e+07,7.0546e+07,237722,237025
17,46146.6,7.10801e+07,7.0546e+07,237399,237515
18,45915.8,7.17629e+07,7.03757e+07,237212,237604
19,45686.2,7.17034e+07,7.03757e+07,237223,237454
20,45457.8,7.18762e+07,7.03757e+07,237637,236810
21,45230.5,7.19851e+07,7.03757e+07,237218,237234
22,45004.4,7.17585e+07,7.03757e+07,237127,237009
23,44779.3,7.15644e+07,7.03757e+07,237143,237332
24,44555.5,7.22686e+07,7.03757e+07,236995,236799
25,44332.7,7.16628e+07,7.03757e+07,236527,237306
26,44111,7.09792e+07,7.03757e+07,236793,236747
27,43890.5,7.17464e+07,7.03757e+07,237112,236442
28,43671,7.20504e+07,7.03654e+07,236798,236752
29,43452.6,7.12874e+07,7.03654e+07,236539,236837
30,43235.4,7.10441e+07,7.03654e+07,236451,236831
31,43019.2,7.14763e+07,7.03654e+07,236730,236173
32,42804.1,7.15148e+07,7.03654e+07,236348,236513
33,42590.1,7.1335e+07,7.03654e+07,236754,236076
34,42377.1,7.17351e+07,7.03654e+07,236413,236256
35,42165.3,7.14535e+07,7.03654e+07,236487,236070
36,41954.4,7.15547e+07,6.99221e+07,236390,235887
37,41744.7,7.12376e+07,6.99221e+07,236250,235758
38,41535.9,7.13666e+07,6.99221e+07,236416,236069
39,41328.3,7.12637e+07,6.99221e+07,236176,235623
40,41121.6,7.11559e+07,6.99221e+07,235979,235652
41,40916,7.18249e+07,6.99221e+07,236436,235394
42,40711.4,7.15709e+07,6.99221e+07,235617,236186
43,40507.9,7.10592e+07,6.99221e+07,235695,235865
44,40305.3,7.18208e+07,6.99221e+07,235680,235394
45,40103.8,7.09859e+07,6.99221e+07,235586,235623
46,39903.3,7.15129e+07,6.99221e+07,235236,235542
47,39703.8,7.1525e+07,6.99221e+07,235138,235297
48,39505.2,7.10434e+07,6.99221e+07,235358,235609
49,39307.7,7.09829e+07,6.99221e+07,235568,235267
50,39111.2,7.08973e+07,6.99221e+07,235136,235227
51,38915.6,7.14746e+07,6.99221e+07,235034,235207
52,38721,7.11187e+07,6.99119e+07,234907,235312
53,38527.4,7.09343e+07,6.99119e+07,234833,235249
54,38334.8,7.09363e+07,6.99119e+07,235504,234488
55,38143.1,7.14683e+07,6.97976e+07,234647,235019
56,37952.4,7.09853e+07,6.97976e+07,234764,234396
57,37762.7,7.08851e+07,6.97976e+07,234627,234883
58,37573.8,7.1068e+07,6.97976e+07,234596,234331
59,37386,7.12265e+07,6.97976e+07,234643,234477
60,37199,7.06551e+07,6.97976e+07,234140,234727
61,37013,7.08732e+07,6.97976e+07,234405,234047
62,36828,7.1767e+07,6.97976e+07,234286,234236
63,36643.8,7.12001e+07,6.97976e+07,234879,233871
64,36460.6,7.12201e+07,6.97976e+07,234284,234073
65,36278.3,7.06326e+07,6.97976e+07,234148,234069
66,36096.9,7.1224e+07,6.97976e+07,234100,233904
67,35916.4,7.20137e+07,6.97976e+07,234505,233127
68,35736.9,7.08004e+07,6.97976e+07,233674,234207
69,35558.2,7.132e+07,6.97976e+07,233969,233127
70,35380.4,7.0916e+07,6.97976e+07,233670,233529
71,35203.5,7.15021e+07,6.97822e+07,233743,233337
72,35027.5,7.06903e+07,6.97822e+07,233408,233380
73,34852.3,7.13855e+07,6.97731e+07,233188,233367
74,34678.1,7.08389e+07,6.97731e+07,233038,233196
75,34504.7,7.11354e+07,6.95978e+07,233177,232961
