epoch,temperature,currentCost,bestCost,acceptedWorse,acceptedBetter
1,50000,1.44104e+07,1.40054e+07,246994,247558
2,49750,1.43227e+07,1.40054e+07,247687,246706
3,49501.2,1.44087e+07,1.40054e+07,247101,247160
4,49253.7,1.42888e+07,1.40054e+07,247017,247135
5,49007.5,1.42331e+07,1.40054e+07,247172,247032
6,48762.4,1.43827e+07,1.40054e+07,247319,246913
7,48518.6,1.4461e+07,1.40054e+07,247050,246953
8,48276,1.43376e+07,1.40054e+07,247058,247148
9,48034.7,1.43023e+07,1.3969e+07,247527,246526
10,47794.5,1.45085e+07,1.3969e+07,246969,247099
11,47555.5,1.43297e+07,1.3969e+07,246824,247235
12,47317.7,1.4401e+07,1.3969e+07,247538,246474
13,47081.1,1.43146e+07,1.3969e+07,247189,246746
14,46845.7,1.43448e+07,1.3969e+07,246720,247272
15,46611.5,1.43525e+07,1.3969e+07,246608,247420
16,46378.4,1.43286e+07,1.3969e+07,247032,246717
17,46146.6,1.42804e+07,1.3969e+07,246656,247233
18,45915.8,1.4183e+07,1.3969e+07,246886,246935
19,45686.2,1.43518e+07,1.3969e+07,246860,246749
20,45457.8,1.43834e+07,1.3969e+07,246382,247394
21,45230.5,1.44002e+07,1.39344e+07,247129,246592
22,45004.4,1.41815e+07,1.39344e+07,247225,246468
23,44779.3,1.41535e+07,1.39344e+07,246835,246964
24,44555.5,1.43495e+07,1.39344e+07,247026,246437
25,44332.7,1.43681e+07,1.39344e+07,246825,246715
26,44111,1.43273e+07,1.39344e+07,246390,247302
27,43890.5,1.441e+07,1.39344e+07,246739,246737
28,43671,1.42912e+07,1.39344e+07,246771,246671
29,43452.6,1.4348e+07,1.39344e+07,246670,246737
30,43235.4,1.43366e+07,1.39344e+07,246897,246494
31,43019.2,1.43724e+07,1.39344e+07,247043,246471
32,42804.1,1.41482e+07,1.39344e+07,246646,246763
33,42590.1,1.43784e+07,1.39344e+07,246370,246908
34,42377.1,1.43205e+07,1.39344e+07,246129,247119
35,42165.3,1.43654e+07,1.39344e+07,246928,246372
36,41954.4,1.43948e+07,1.39344e+07,246231,246858
37,41744.7,1.43609e+07,1.39344e+07,246563,246728
38,41535.9,1.41963e+07,1.39344e+07,246374,246777
39,41328.3,1.42552e+07,1.39344e+07,246551,246378
40,41121.6,1.41618e+07,1.39344e+07,246380,246570
41,40916,1.43885e+07,1.39344e+07,246997,246052
42,40711.4,1.43934e+07,1.39344e+07,246562,246434
43,40507.9,1.43598e+07,1.39344e+07,246013,247000
44,40305.3,1.40226e+07,1.39344e+07,246229,246709
45,40103.8,1.42809e+07,1.38798e+07,246390,246625
46,39903.3,1.42903e+07,1.38798e+07,246417,246419
47,39703.8,1.42057e+07,1.38798e+07,246546,246353
48,39505.2,1.42849e+07,1.38798e+07,246911,245857
49,39307.7,1.42912e+07,1.38798e+07,245993,246787
50,39111.2,1.41217e+07,1.38798e+07,245963,246799
51,38915.6,1.43114e+07,1.38798e+07,246296,246383
52,38721,1.44096e+07,1.38798e+07,246463,246152
53,38527.4,1.42261e+07,1.38798e+07,246104,246529
54,38334.8,1.43133e+07,1.38798e+07,246349,246270
55,38143.1,1.43001e+07,1.38798e+07,245863,246704
56,37952.4,1.4278e+07,1.38798e+07,246121,246323
57,37762.7,1.44075e+07,1.38798e+07,245693,246768
58,37573.8,1.42202e+07,1.38798e+07,245930,246541
59,37386,1.43592e+07,1.38798e+07,246167,246135
60,37199,1.41646e+07,1.38798e+07,246161,246168
61,37013,1.43318e+07,1.38798e+07,246118,246125
62,36828,1.41729e+07,1.38798e+07,246496,245806
63,36643.8,1.43533e+07,1.38798e+07,246174,246036
64,36460.6,1.42176e+07,1.38798e+07,245991,246310
65,36278.3,1.42549e+07,1.38798e+07,245620,246490
66,36096.9,1.43001e+07,1.38798e+07,245984,246042
67,35916.4,1.42034e+07,1.38798e+07,246192,245937
68,35736.9,1.43673e+07,1.38798e+07,246427,245632
69,35558.2,1.4397e+07,1.38798e+07,246176,245827
70,35380.4,1.42858e+07,1.38798e+07,246191,245734
71,35203.5,1.42069e+07,1.38798e+07,246033,245844
72,35027.5,1.42328e+07,1.38798e+07,245704,246186
73,34852.3,1.41871e+07,1.38796e+07,245779,245973
74,34678.1,1.42616e+07,1.38796e+07,245981,245877
75,34504.7,1.44898e+07,1.38796e+07,245453,246231
76,34332.2,1.42953e+07,1.38796e+07,245697,246021
77,34160.5,1.41857e+07,1.38796e+07,245758,245911
78,33989.7,1.42165e+07,1.38796e+07,245603,246030
79,33819.7,1.44301e+07,1.38796e+07,245648,245941
80,33650.6,1.42531e+07,1.38796e+07,245719,245987
81,33482.4,1.43565e+07,1.38796e+07,245333,246353
82,33315,1.41758e+07,1.38796e+07,245704,245627
83,33148.4,1.43018e+07,1.38796e+07,245465,245905
84,32982.7,1.42884e+07,1.38796e+07,246042,245417
85,32817.7,1.41226e+07,1.38796e+07,245577,245744
86,32653.7,1.41469e+07,1.38796e+07,245609,245856
87,32490.4,1.43768e+07,1.38796e+07,245377,245842
88,32327.9,1.43236e+07,1.38796e+07,245469,245638
89,32166.3,1.42255e+07,1.38796e+07,245626,245540
90,32005.5,1.41394e+07,1.38796e+07,245759,245369
91,31845.4,1.39922e+07,1.38796e+07,245461,245651
92,31686.2,1.41511e+07,1.38796e+07,245669,245422
93,31527.8,1.41557e+07,1.387e+07,245323,245538
94,31370.1,1.41853e+07,1.387e+07,245340,245693
95,31213.3,1.42399e+07,1.387e+07,245216,245637
96,31057.2,1.42886e+07,1.387e+07,244738,245919
97,30901.9,1.43086e+07,1.387e+07,245366,245446
98,30747.4,1.42113e+07,1.387e+07,245433,245342
99,30593.7,1.41714e+07,1.387e+07,245298,245421
100,30440.7,1.41989e+07,1.38437e+07,245453,245159
101,30288.5,1.43389e+07,1.38437e+07,244826,245698
102,30137.1,1.43287e+07,1.38437e+07,245799,244787
103,29986.4,1.41743e+07,1.38437e+07,245304,245121
104,29836.5,1.42642e+07,1.38437e+07,245353,245239
105,29687.3,1.42952e+07,1.38437e+07,245366,244941
106,29538.8,1.40928e+07,1.38437e+07,245266,245058
107,29391.1,1.42677e+07,1.38437e+07,245338,244992
108,29244.2,1.42826e+07,1.38437e+07,244710,245591
109,29098,1.40931e+07,1.38437e+07,245239,244863
110,28952.5,1.4257e+07,1.38437e+07,244998,245100
111,28807.7,1.4164e+07,1.38437e+07,245145,244850
112,28663.7,1.40841e+07,1.38437e+07,244753,245272
113,28520.4,1.4269e+07,1.38437e+07,244818,245193
114,28377.8,1.43824e+07,1.38437e+07,245077,244903
115,28235.9,1.42514e+07,1.38034e+07,244548,245188
116,28094.7,1.41213e+07,1.38034e+07,244501,245230
117,27954.2,1.40568e+07,1.38034e+07,244731,245122
118,27814.4,1.41863e+07,1.38034e+07,245260,244640
119,27675.4,1.40578e+07,1.38034e+07,244657,245050
120,27537,1.42134e+07,1.38034e+07,244671,244894
121,27399.3,1.40299e+07,1.38034e+07,244345,245084
122,27262.3,1.44053e+07,1.38034e+07,244603,244815
123,27126,1.39747e+07,1.38034e+07,244713,244617
124,26990.4,1.40946e+07,1.38034e+07,244751,244681
125,26855.4,1.4159e+07,1.38034e+07,244714,244621
126,26721.1,1.41023e+07,1.38034e+07,244595,244868
127,26587.5,1.40626e+07,1.38034e+07,244707,244453
128,26454.6,1.42383e+07,1.38034e+07,244527,244834
129,26322.3,1.40884e+07,1.38034e+07,244762,244277
130,26190.7,1.43373e+07,1.38034e+07,244487,244600
131,26059.8,1.40113e+07,1.38034e+07,244332,244566
132,25929.5,1.42651e+07,1.38034e+07,244618,244321
133,25799.8,1.41614e+07,1.38034e+07,245073,243849
134,25670.8,1.41652e+07,1.3756e+07,244509,244448
135,25542.5,1.43053e+07,1.3756e+07,244662,243993
136,25414.8,1.41657e+07,1.3756e+07,244179,244546
137,25287.7,1.41274e+07,1.3756e+07,244170,244335
138,25161.2,1.40774e+07,1.3756e+07,244436,244110
139,25035.4,1.42869e+07,1.3756e+07,243887,244658
140,24910.3,1.41411e+07,1.3756e+07,243971,244539
141,24785.7,1.43345e+07,1.3756e+07,244468,244085
142,24661.8,1.41861e+07,1.3756e+07,244351,244135
143,24538.5,1.421e+07,1.3756e+07,244478,243995
144,24415.8,1.42105e+07,1.3756e+07,244087,244091
145,24293.7,1.42606e+07,1.3756e+07,244552,243743
146,24172.2,1.40596e+07,1.3756e+07,243914,244164
147,24051.4,1.43641e+07,1.3756e+07,243715,244533
148,23931.1,1.40902e+07,1.3756e+07,244139,243921
149,23811.5,1.40714e+07,1.3756e+07,243882,244031
150,23692.4,1.41844e+07,1.3756e+07,244227,243617
151,23573.9,1.40513e+07,1.3756e+07,243568,244114
152,23456.1,1.4181e+07,1.3756e+07,244044,243878
153,23338.8,1.4097e+07,1.3756e+07,244033,243966
154,23222.1,1.4255e+07,1.3756e+07,243781,243892
155,23106,1.4229e+07,1.3756e+07,243316,244316
156,22990.5,1.41799e+07,1.3756e+07,243377,244067
157,22875.5,1.41326e+07,1.3756e+07,243599,243689
158,22761.1,1.40596e+07,1.3756e+07,243489,244110
159,22647.3,1.40064e+07,1.3756e+07,243517,243993
160,22534.1,1.41087e+07,1.3756e+07,243444,243603
161,22421.4,1.40534e+07,1.3756e+07,243818,243502
162,22309.3,1.39967e+07,1.3756e+07,243652,243266
163,22197.8,1.41251e+07,1.3756e+07,243503,243506
164,22086.8,1.41998e+07,1.3756e+07,243447,243387
165,21976.3,1.40511e+07,1.3756e+07,243543,243469
166,21866.5,1.41809e+07,1.3756e+07,243766,243087
167,21757.1,1.40918e+07,1.3756e+07,243374,243229
168,21648.3,1.39335e+07,1.3756e+07,243376,243364
169,21540.1,1.40973e+07,1.3756e+07,243435,243073
170,21432.4,1.40029e+07,1.3756e+07,243474,243096
171,21325.2,1.41406e+07,1.3756e+07,243071,243501
172,21218.6,1.40952e+07,1.3756e+07,242894,243538
173,21112.5,1.40986e+07,1.3756e+07,243392,243182
174,21006.9,1.40839e+07,1.3756e+07,242429,243675
175,20901.9,1.40711e+07,1.3756e+07,242846,243367
176,20797.4,1.39985e+07,1.3756e+07,242664,243274
177,20693.4,1.41212e+07,1.3756e+07,243510,242362
178,20590,1.40757e+07,1.3756e+07,243068,242932
179,20487,1.41493e+07,1.3756e+07,243173,242664
180,20384.6,1.40393e+07,1.3756e+07,243318,242699
181,20282.6,1.40125e+07,1.3756e+07,243331,242484
182,20181.2,1.41371e+07,1.3756e+07,242750,242851
183,20080.3,1.41673e+07,1.3756e+07,242937,242846
184,19979.9,1.40354e+07,1.3756e+07,242831,242495
185,19880,1.417e+07,1.3756e+07,242595,242922
186,19780.6,1.41727e+07,1.3756e+07,242658,242515
187,19681.7,1.4088e+07,1.3756e+07,242983,242610
188,19583.3,1.42253e+07,1.3756e+07,242510,242790
189,19485.4,1.41642e+07,1.3756e+07,242798,242195
190,19388,1.42785e+07,1.3756e+07,242575,242610
191,19291,1.40366e+07,1.37483e+07,242401,242423
192,19194.6,1.40868e+07,1.37483e+07,242493,242363
193,19098.6,1.40241e+07,1.37228e+07,242764,241853
194,19003.1,1.41293e+07,1.37228e+07,242675,242021
195,18908.1,1.39852e+07,1.37228e+07,242340,242420
196,18813.5,1.41705e+07,1.36757e+07,241929,242598
197,18719.5,1.41434e+07,1.36757e+07,242314,242234
198,18625.9,1.40183e+07,1.36757e+07,241725,242535
199,18532.8,1.3954e+07,1.36757e+07,242004,242392
200,18440.1,1.41495e+07,1.36757e+07,241796,242358
201,18347.9,1.39819e+07,1.36757e+07,241796,242388
202,18256.2,1.40511e+07,1.36757e+07,241824,242404
203,18164.9,1.42358e+07,1.36749e+07,242250,241876
204,18074,1.40286e+07,1.36749e+07,241931,242109
205,17983.7,1.37979e+07,1.36749e+07,241551,241957
206,17893.8,1.39635e+07,1.36749e+07,241851,241862
207,17804.3,1.41314e+07,1.36749e+07,241919,241761
208,17715.3,1.4051e+07,1.36749e+07,241344,242141
209,17626.7,1.40852e+07,1.36749e+07,242021,241429
210,17538.6,1.39577e+07,1.36749e+07,241785,241555
211,17450.9,1.39758e+07,1.36749e+07,241520,241779
212,17363.6,1.41008e+07,1.36749e+07,241395,241974
213,17276.8,1.39958e+07,1.36749e+07,241410,241770
214,17190.4,1.40647e+07,1.36749e+07,241652,241525
215,17104.5,1.39484e+07,1.36749e+07,241502,241464
216,17018.9,1.40533e+07,1.36749e+07,241447,241576
217,16933.8,1.38353e+07,1.36749e+07,241265,241540
218,16849.2,1.40307e+07,1.36712e+07,241270,241691
219,16764.9,1.40398e+07,1.36712e+07,241054,241628
220,16681.1,1.40103e+07,1.36693e+07,241165,241409
221,16597.7,1.40963e+07,1.36693e+07,241003,241551
222,16514.7,1.39843e+07,1.36693e+07,241511,241090
223,16432.1,1.4046e+07,1.36693e+07,240979,241267
224,16350,1.38565e+07,1.36677e+07,241084,241098
225,16268.2,1.39366e+07,1.36677e+07,240795,241369
226,16186.9,1.38896e+07,1.36677e+07,241025,240859
227,16105.9,1.39216e+07,1.36677e+07,240969,240959
228,16025.4,1.37983e+07,1.36677e+07,240939,240808
229,15945.3,1.39727e+07,1.36496e+07,241095,240768
230,15865.6,1.40868e+07,1.36496e+07,240806,240920
231,15786.2,1.40453e+07,1.36496e+07,240434,241255
232,15707.3,1.40444e+07,1.36496e+07,240769,240859
233,15628.8,1.38881e+07,1.36496e+07,241046,240450
234,15550.6,1.38988e+07,1.36285e+07,240702,240757
235,15472.9,1.39731e+07,1.36285e+07,240602,240728
236,15395.5,1.38431e+07,1.36285e+07,240633,240220
237,15318.5,1.38899e+07,1.36285e+07,239844,241003
238,15241.9,1.39567e+07,1.36247e+07,240335,240328
