id,x,y
1,36683.3,15133.3
2,36716.7,14683.3
3,36716.7,14733.3
4,36716.7,14850
5,36716.7,15000
6,36716.7,15083.3
7,36733.3,14800
8,36733.3,15033.3
9,36733.3,15100
10,36750,14633.3
11,36750,14983.3
12,36766.7,14733.3
13,36766.7,14800
14,36766.7,15016.7
15,36766.7,15066.7
16,36783.3,12033.3
17,36783.3,14483.3
18,36783.3,14550
19,36783.3,14700
20,36783.3,14916.7
21,36783.3,15050
22,36800,14983.3
23,36800,15100
24,36816.7,14566.7
25,36816.7,14950
26,36816.7,14983.3
27,36833.3,11950
28,36833.3,14516.7
29,36833.3,15033.3
30,36850,15116.7
31,36866.7,14466.7
32,36866.7,14633.3
33,36866.7,14766.7
34,36866.7,15133.3
35,36883.3,14433.3
36,36883.3,14516.7
37,36883.3,14566.7
38,36883.3,14966.7
39,36883.3,15066.7
40,36900,14916.7
41,36900,15083.3
42,36900,15133.3
43,36916.7,14633.3
44,36916.7,14733.3
45,36933.3,14600
46,36933.3,14966.7
47,36933.3,15066.7
48,36950,14533.3
49,36950,14800
50,36950,14933.3
51,36950,15133.3
52,36966.7,14750
53,36966.7,14800
54,36966.7,14966.7
55,36966.7,15183.3
56,36983.3,14533.3
57,36983.3,14933.3
58,36983.3,14966.7
59,36983.3,15033.3
60,36983.3,15116.7
61,36983.3,15233.3
62,37000,14383.3
63,37033.3,14466.7
64,37033.3,14700
65,37033.3,15066.7
66,37050,14800
67,37050,15050
68,37066.7,14250
69,37066.7,14900
70,37066.7,15300
71,37083.3,14550
72,37083.3,14766.7
73,37083.3,14883.3
74,37083.3,15150
75,37083.3,15266.7
76,37100,13933.3
77,37100,14500
78,37100,15116.7
79,37100,15216.7
80,37100,15233.3
81,37100,15266.7
82,37116.7,14933.3
83,37116.7,15266.7
84,37133.3,14300
85,37133.3,14733.3
86,37133.3,14850
87,37133.3,14900
88,37133.3,15016.7
89,37150,14383.3
90,37150,14700
91,37150,15033.3
92,37150,15183.3
93,37166.7,13716.7
94,37166.7,14750
95,37183.3,13766.7
96,37183.3,14183.3
97,37183.3,14233.3
98,37183.3,14516.7
99,37183.3,15116.7
100,37183.3,15166.7
101,37183.3,15200
102,37200,14716.7
103,37200,14900
104,37200,14950
105,37216.7,13916.7
106,37216.7,14633.3
107,37216.7,14683.3
108,37216.7,14983.3
109,37216.7,15216.7
110,37233.3,14516.7
111,37233.3,14883.3
112,37250,13783.3
113,37250,13916.7
114,37250,14183.3
115,37250,14816.7
116,37250,14850
117,37250,15083.3
118,37266.7,13583.3
119,37266.7,13966.7
120,37266.7,14700
121,37266.7,14750
122,37266.7,14800
123,37266.7,15016.7
124,37283.3,13533.3
125,37283.3,13916.7
126,37283.3,14083.3
127,37283.3,14366.7
128,37283.3,14433.3
129,37283.3,14650
130,37283.3,15000
131,37283.3,15183.3
132,37300,13466.7
133,37300,13783.3
134,37300,13950
135,37300,14033.3
136,37300,14216.7
137,37300,14850
138,37300,14900
139,37316.7,13550
140,37316.7,13566.7
141,37316.7,13650
142,37316.7,14450
143,37316.7,14516.7
144,37316.7,14750
145,37333.3,13383.3
146,37333.3,13416.7
147,37333.3,13983.3
148,37333.3,14616.7
149,37333.3,14933.3
150,37350,13533.3
151,37350,13766.7
152,37350,13850
153,37350,13916.7
154,37350,14800
155,37350,14883.3
156,37366.7,14200
157,37366.7,14816.7
158,37366.7,14933.3
159,37366.7,15050
160,37383.3,13350
161,37383.3,13550
162,37383.3,14366.7
163,37383.3,14616.7
164,37383.3,14700
165,37400,13533.3
166,37400,13616.7
167,37400,13650
168,37400,13700
169,37400,13733.3
170,37400,15066.7
171,37416.7,14133.3
172,37416.7,14450
173,37416.7,14500
174,37416.7,14550
175,37433.3,13400
