id,x,y,order
5878,31033.3,61366.7,0
1066,30933.3,61166.7,1
4648,30866.7,60983.3,2
5250,30733.3,60966.7,3
6557,30683.3,61050,4
1077,30616.7,60916.7,5
3750,30500,60883.3,6
3352,30366.7,61150,7
7496,30550,61183.3,8
7318,30533.3,61033.3,9
1739,30316.7,61233.3,10
1246,30200,61183.3,11
4981,30083.3,61166.7,12
7277,30266.7,61366.7,13
2676,30266.7,61366.7,14
7932,30450,61266.7,15
4733,30416.7,61016.7,16
3919,30416.7,61016.7,17
5001,30216.7,60500,18
4647,30333.3,60566.7,19
4645,30333.3,60566.7,20
7221,30450,60433.3,21
5685,30383.3,60416.7,22
1528,30350,60300,23
4988,30466.7,60166.7,24
6809,30383.3,60316.7,25
7369,30383.3,60316.7,26
4911,30233.3,60366.7,27
555,30150,60350,28
5000,30200,60483.3,29
1119,30450,60433.3,30
6245,30583.3,60483.3,31
3772,30583.3,60483.3,32
3605,30583.3,60483.3,33
196,30550,60750,34
526,30933.3,60650,35
1772,30866.7,60550,36
1782,30866.7,60550,37
3121,30900,60383.3,38
3340,30966.7,60466.7,39
4536,31016.7,60300,40
7782,31200,60166.7,41
8222,31383.3,60100,42
1252,31416.7,60050,43
1540,31466.7,60166.7,44
6929,31466.7,60166.7,45
2538,31566.7,60066.7,46
2528,31583.3,60066.7,47
2954,31750,60166.7,48
7294,31833.3,60300,49
1197,31833.3,60366.7,50
1784,31783.3,60433.3,51
8555,31716.7,60583.3,52
173,31650,60366.7,53
4944,31616.7,60333.3,54
2459,31466.7,60166.7,55
2517,31466.7,60166.7,56
8123,31416.7,60333.3,57
7453,31616.7,60600,58
4817,31633.3,60616.7,59
1378,31633.3,60700,60
7451,31616.7,60600,61
1591,31600,60583.3,62
2745,31566.7,60716.7,63
2141,31500,60733.3,64
3438,31516.7,60666.7,65
6455,31566.7,60716.7,66
1247,31666.7,60766.7,67
5914,31583.3,60933.3,68
1845,31683.3,60933.3,69
7299,31816.7,61000,70
3830,31800,61000,71
1748,31750,61100,72
1747,31750,61100,73
1753,31733.3,61100,74
3690,31800,60983.3,75
6191,31800,60983.3,76
1196,31766.7,60850,77
7114,31966.7,60916.7,78
5705,31883.3,61133.3,79
2101,31900,61283.3,80
1529,31900,61283.3,81
7106,31916.7,61400,82
114,31950,61400,83
7409,31916.7,61400,84
5609,31950,61400,85
4139,31900,61283.3,86
1400,31766.7,61316.7,87
1401,31766.7,61316.7,88
7061,31700,61250,89
1988,31700,61250,90
1923,31583.3,61383.3,91
1226,31583.3,61383.3,92
2772,31450,61250,93
5415,31416.7,61083.3,94
1341,31516.7,61133.3,95
1204,31616.7,61133.3,96
1631,31550,61083.3,97
1749,31683.3,61083.3,98
1632,31616.7,61133.3,99
1681,31616.7,61133.3,100
3973,31600,61216.7,101
3732,31666.7,61350,102
1922,31666.7,61350,103
3400,31666.7,61350,104
1531,31850,61583.3,105
1538,31850,61583.3,106
1236,31716.7,61583.3,107
1227,31583.3,61383.3,108
8599,31366.7,61350,109
8601,31366.7,61350,110
3240,31350,61233.3,111
8597,31416.7,61416.7,112
8600,31416.7,61416.7,113
8598,31416.7,61416.7,114
210,31350,61616.7,115
2224,31266.7,61483.3,116
4240,31133.3,61450,117
2992,31200,61466.7,118
4238,31133.3,61450,119
3256,31116.7,61516.7,120
4239,31116.7,61516.7,121
6743,31100,61650,122
6031,31133.3,61616.7,123
2516,31150,61733.3,124
7849,30966.7,61750,125
7425,30983.3,61750,126
7331,30916.7,61800,127
7364,31000,61600,128
1041,30933.3,61566.7,129
5419,30866.7,61366.7,130
638,30866.7,61366.7,131
637,30866.7,61366.7,132
2170,30833.3,61483.3,133
981,30850,61600,134
3112,30716.7,61616.7,135
980,30816.7,61750,136
7216,30816.7,61750,137
7406,30850,61850,138
7200,30850,61950,139
8294,30850,61850,140
6068,30950,61850,141
2530,31050,61883.3,142
3727,31050,61883.3,143
6187,31050,61883.3,144
2682,31016.7,62066.7,145
6857,31400,62316.7,146
5207,31400,62466.7,147
696,31083.3,62483.3,148
5211,30950,62500,149
2726,30883.3,62766.7,150
5054,30966.7,62833.3,151
3707,30966.7,62833.3,152
3769,30800,62883.3,153
4665,30866.7,62983.3,154
380,30883.3,63133.3,155
6332,31000,63050,156
4601,31066.7,63150,157
7315,31216.7,63216.7,158
7363,31083.3,63166.7,159
4553,31033.3,63066.7,160
7354,31000,63050,161
794,31083.3,62966.7,162
795,31083.3,62966.7,163
7310,31216.7,63033.3,164
7376,31200,62983.3,165
451,31316.7,62833.3,166
7165,31316.7,62833.3,167
452,31316.7,62833.3,168
7247,31266.7,62816.7,169
5895,31133.3,62800,170
169,31266.7,62700,171
3560,30900,62666.7,172
8505,31000,62666.7,173
4924,31216.7,62616.7,174
7302,31250,62350,175
2719,31300,62233.3,176
3889,31316.7,62133.3,177
5902,31166.7,62100,178
7417,31133.3,62233.3,179
7206,31033.3,62250,180
7207,31033.3,62250,181
7210,31050,62350,182
8852,30950,62350,183
