iteration,bestCost
1,7.42329e+07
2,7.41939e+07
3,7.41477e+07
4,7.4109e+07
5,7.40643e+07
6,7.40311e+07
7,7.39916e+07
8,7.39511e+07
9,7.39109e+07
10,7.38689e+07
11,7.38222e+07
12,7.37878e+07
13,7.37456e+07
14,7.37057e+07
15,7.36687e+07
16,7.36264e+07
17,7.35818e+07
18,7.35388e+07
19,7.34992e+07
20,7.34576e+07
21,7.34205e+07
22,7.33865e+07
23,7.33493e+07
24,7.33007e+07
25,7.3254e+07
26,7.3211e+07
27,7.31803e+07
28,7.31416e+07
29,7.3108e+07
30,7.30714e+07
31,7.30283e+07
32,7.29889e+07
33,7.29399e+07
34,7.28971e+07
35,7.286e+07
36,7.28184e+07
37,7.27712e+07
38,7.27387e+07
39,7.26965e+07
40,7.26642e+07
41,7.26257e+07
42,7.25852e+07
43,7.25385e+07
44,7.24962e+07
45,7.24528e+07
46,7.24132e+07
47,7.2376e+07
48,7.23367e+07
49,7.23016e+07
50,7.22591e+07
51,7.22187e+07
52,7.21705e+07
53,7.2135e+07
54,7.21015e+07
55,7.20583e+07
56,7.20251e+07
57,7.19863e+07
58,7.19374e+07
59,7.18933e+07
60,7.18567e+07
61,7.18159e+07
62,7.17776e+07
63,7.17343e+07
64,7.16978e+07
65,7.16546e+07
66,7.16167e+07
67,7.15834e+07
68,7.15402e+07
69,7.14987e+07
70,7.14672e+07
71,7.14311e+07
72,7.13944e+07
73,7.13576e+07
74,7.13229e+07
75,7.12839e+07
76,7.12524e+07
77,7.12078e+07
78,7.11709e+07
79,7.11339e+07
80,7.10962e+07
81,7.10635e+07
82,7.10325e+07
83,7.09933e+07
84,7.09551e+07
85,7.09165e+07
86,7.08784e+07
87,7.08462e+07
88,7.08045e+07
89,7.07674e+07
90,7.07347e+07
91,7.06898e+07
92,7.06576e+07
93,7.06261e+07
94,7.05896e+07
95,7.05516e+07
96,7.05214e+07
97,7.04838e+07
98,7.04516e+07
99,7.04113e+07
100,7.03744e+07
101,7.03437e+07
102,7.03069e+07
103,7.02675e+07
104,7.0235e+07
105,7.01941e+07
106,7.01587e+07
107,7.01215e+07
108,7.00905e+07
109,7.0052e+07
110,7.00134e+07
111,6.99679e+07
112,6.99239e+07
113,6.98939e+07
114,6.98544e+07
115,6.9821e+07
116,6.97791e+07
117,6.97376e+07
118,6.9703e+07
119,6.96657e+07
120,6.96297e+07
121,6.95971e+07
122,6.95651e+07
123,6.95323e+07
124,6.94999e+07
125,6.94594e+07
126,6.94246e+07
127,6.93847e+07
128,6.93503e+07
129,6.9313e+07
130,6.92792e+07
131,6.92416e+07
132,6.92104e+07
133,6.91724e+07
134,6.9133e+07
135,6.90852e+07
136,6.90505e+07
137,6.90157e+07
138,6.89847e+07
139,6.89504e+07
140,6.89154e+07
141,6.88865e+07
142,6.88528e+07
143,6.88165e+07
144,6.87886e+07
145,6.87583e+07
146,6.87216e+07
147,6.86881e+07
148,6.8657e+07
149,6.86196e+07
150,6.85801e+07
151,6.85462e+07
152,6.85156e+07
153,6.84892e+07
154,6.84598e+07
155,6.84295e+07
156,6.83984e+07
157,6.837e+07
158,6.83376e+07
159,6.83071e+07
160,6.82773e+07
161,6.8249e+07
162,6.82211e+07
163,6.81913e+07
164,6.81657e+07
165,6.81401e+07
166,6.81036e+07
167,6.80749e+07
168,6.80387e+07
169,6.80125e+07
170,6.79812e+07
171,6.79536e+07
172,6.79232e+07
173,6.7887e+07
174,6.78566e+07
175,6.78302e+07
176,6.77849e+07
177,6.77565e+07
178,6.77221e+07
179,6.76944e+07
180,6.76641e+07
181,6.76314e+07
182,6.76049e+07
183,6.75659e+07
184,6.75307e+07
185,6.7504e+07
186,6.747e+07
187,6.74421e+07
188,6.74089e+07
189,6.73733e+07
190,6.73429e+07
191,6.73099e+07
192,6.72809e+07
193,6.72519e+07
194,6.72181e+07
195,6.71812e+07
196,6.71534e+07
197,6.71239e+07
198,6.70885e+07
199,6.70559e+07
200,6.70269e+07
201,6.69845e+07
202,6.69543e+07
203,6.69148e+07
204,6.68816e+07
205,6.68514e+07
206,6.682e+07
207,6.67931e+07
208,6.67682e+07
209,6.67389e+07
210,6.67027e+07
211,6.66716e+07
212,6.66465e+07
213,6.66202e+07
214,6.65951e+07
215,6.65533e+07
216,6.65251e+07
217,6.64943e+07
218,6.64659e+07
219,6.64378e+07
220,6.64114e+07
221,6.63823e+07
222,6.63405e+07
223,6.63086e+07
224,6.62838e+07
225,6.6256e+07
226,6.62277e+07
227,6.61915e+07
228,6.61626e+07
229,6.61324e+07
230,6.61059e+07
231,6.60669e+07
232,6.60397e+07
233,6.60102e+07
234,6.59839e+07
235,6.59585e+07
236,6.59311e+07
237,6.59036e+07
238,6.58705e+07
239,6.58422e+07
240,6.58073e+07
241,6.57808e+07
242,6.57557e+07
243,6.57288e+07
244,6.56998e+07
245,6.5672e+07
246,6.56447e+07
247,6.56155e+07
248,6.55901e+07
249,6.5565e+07
250,6.55291e+07
251,6.55011e+07
252,6.54679e+07
253,6.54372e+07
254,6.54076e+07
255,6.53809e+07
256,6.5347e+07
257,6.53175e+07
258,6.52919e+07
259,6.52632e+07
260,6.52359e+07
261,6.52124e+07
262,6.51857e+07
263,6.51602e+07
264,6.51224e+07
265,6.50942e+07
266,6.50643e+07
267,6.50393e+07
268,6.5012e+07
269,6.49787e+07
270,6.49451e+07
271,6.49166e+07
272,6.4886e+07
273,6.48564e+07
274,6.48189e+07
275,6.4793e+07
276,6.47682e+07
277,6.47409e+07
278,6.47052e+07
279,6.46789e+07
280,6.46514e+07
281,6.46223e+07
282,6.4599e+07
283,6.4574e+07
284,6.45435e+07
285,6.4515e+07
286,6.44829e+07
287,6.44567e+07
288,6.44298e+07
289,6.44013e+07
290,6.43767e+07
291,6.43486e+07
292,6.43212e+07
293,6.42935e+07
294,6.42698e+07
295,6.42443e+07
296,6.42203e+07
297,6.41894e+07
298,6.41594e+07
299,6.4133e+07
300,6.41043e+07
301,6.40743e+07
302,6.40419e+07
303,6.40159e+07
304,6.39838e+07
305,6.39558e+07
306,6.39318e+07
307,6.39076e+07
308,6.38778e+07
309,6.38455e+07
