id,x,y
1,36266.7,62550
2,34600,58633.3
3,51650,72300
4,37800,67683.3
5,35428.1,60174.2
6,34583.3,68550
7,27383.3,54766.7
8,34533.3,63166.7
9,23766.7,64683.3
10,32383.3,59666.7
11,32383.3,59666.7
12,25416.7,65533.3
13,31383.3,64183.3
14,37916.7,62933.3
15,37183.3,60166.7
16,35600,60900
17,33783.3,60600
18,35454.2,60891.4
19,31650,68400
20,28833.3,58833.3
21,26283.3,64483.3
22,34642.5,58618.1
23,34150,60800
24,33800,61583.3
25,32666.7,68616.7
26,27033.3,54650
27,32266.7,68416.7
28,35550,58883.3
29,25083.3,65483.3
30,28550,67066.7
31,23550,62600
32,36550,62583.3
33,38750,60766.7
34,27716.7,61366.7
35,28316.7,64966.7
36,31550,68733.3
37,37216.7,61933.3
38,37216.7,61933.3
39,35550,58883.3
40,31566.7,61900
41,31566.7,61900
42,34374.7,58895.3
43,33016.7,60883.3
44,34883.3,61000
45,34092.2,59035
46,26216.7,65400
47,24250,65133.3
48,35050,59050
49,33483.3,69000
50,26066.7,60550
51,27783.3,65333.3
52,26550,59350
53,38900,70066.7
54,40700,63466.7
55,27916.7,64250
56,33800,66433.3
57,52166.7,68566.7
58,40183.3,70233.3
59,37000,63150
60,23633.3,64466.7
61,28700,56816.7
62,31383.3,58116.7
63,28883.3,58033.3
64,38150,70716.7
65,27366.7,65516.7
66,27800,62966.7
67,23433.3,64166.7
68,38133.3,57983.3
69,22200,66016.7
70,29100,58333.3
71,31450,64366.7
72,31450,64366.7
73,28416.7,65633.3
74,30366.7,67666.7
75,30933.3,59466.7
76,31466.7,58266.7
77,36183.3,60066.7
78,27500,55166.7
79,27483.3,55133.3
80,26983.3,54483.3
81,28983.3,65483.3
82,26816.7,65316.7
83,31166.7,63583.3
84,27800,62966.7
85,32850,60800
86,22100,65466.7
87,22133.3,65466.7
88,29016.7,58900
89,32133.3,58266.7
90,28916.7,58933.3
91,25600,64950
92,29016.7,58900
93,26416.7,58550
94,26466.7,65833.3
95,27983.3,63950
96,31083.3,58383.3
97,22433.3,63800
98,22933.3,65300
99,29466.7,56816.7
100,27650,65650
101,27883.3,64250
102,27466.7,65050
103,24116.7,65383.3
104,27383.3,57700
105,22383.3,63800
106,27366.7,65216.7
107,27183.3,65616.7
108,51533.3,72300
109,51533.3,72300
110,32116.7,64750
111,32116.7,64750
112,32050,65050
113,36250,64233.3
114,31950,61400
115,34700,58316.7
116,33783.3,61216.7
117,33166.7,62750
118,27300,62600
119,34933.3,64316.7
120,33883.3,64700
121,34916.7,60516.7
122,25966.7,54583.3
123,34933.3,64316.7
124,33583.3,59816.7
125,31650,60683.3
126,23416.7,62466.7
127,28050,56033.3
128,37450,60666.7
129,34883.3,62616.7
130,23900,65450
131,34616.7,58566.7
132,34533.3,58466.7
133,22583.3,65200
134,22116.7,65133.3
135,37666.7,57650
136,34233.3,62833.3
137,27783.3,64150
138,33016.7,68883.3
139,33633.3,69150
140,38750,68183.3
141,36050,67383.3
142,45400,67133.3
143,22116.7,65133.3
144,24900,65683.3
145,34450,58550
146,30750,61333.3
147,25066.7,64966.7
148,26483.3,65366.7
149,28766.7,68166.7
150,27383.3,64866.7
151,25700,63700
152,25716.7,63700
153,25683.3,63666.7
154,23666.7,64466.7
155,33983.3,60233.3
156,37450,70766.7
157,31183.3,61833.3
158,27783.3,64150
159,35833.3,59033.3
160,34583.3,68550
161,31316.7,58033.3
162,22533.3,62266.7
163,34550,58533.3
164,32116.7,64750
165,34700,58316.7
166,31350,65100
167,27583.3,66250
168,27100,66816.7
169,31266.7,62700
170,31266.7,63066.7
171,34333.3,64916.7
172,34566.7,58483.3
173,31650,60366.7
174,29400,62783.3
175,29300,68200
176,33366.7,69133.3
177,30400,64116.7
178,32716.7,68583.3
179,30216.7,61883.3
180,40666.7,71400
181,27483.3,55150
182,28166.7,64100
183,25850,63883.3
184,34666.7,58450
185,28100,64133.3
186,31750,64466.7
187,38766.7,62250
188,35616.7,62866.7
189,33550,69166.7
190,35283.3,63366.7
191,35283.3,63366.7
192,34700,58383.3
193,34116.7,64733.3
194,27400,65683.3
195,24966.7,65400
196,30550,60750
197,35983.3,60933.3
198,33250,68150
199,31733.3,68316.7
200,31150,63383.3
201,30950,66216.7
202,36783.3,59050
203,31450,64450
204,32433.3,58633.3
205,28300,64200
206,32166.7,58933.3
207,32450,58433.3
208,34066.7,60400
209,32200,58216.7
210,31350,61616.7
211,31500,68333.3
212,34650,58750
213,28100,55883.3
214,34766.7,58200
215,31650,62866.7
216,33016.7,60616.7
217,33766.7,69033.3
218,30733.3,63400
219,30633.3,67450
220,28800,63416.7
221,34450,62650
222,27783.3,55233.3
223,32183.3,64483.3
224,34838.9,58955
225,34283.3,63250
226,30416.7,63483.3
227,30783.3,57916.7
228,34416.7,58866.7
229,27933.3,64133.3
230,27566.7,64950
231,38716.7,62450
232,34700,58466.7
233,33716.7,65383.3
234,31450,64166.7
235,37850,57983.3
236,26900,64933.3
237,34650,58700
238,33416.7,61500
239,39100,67066.7
240,33200,63866.7
241,34700,58466.7
242,34616.7,58533.3
243,25066.7,58550
244,32183.3,60200
245,27233.3,65550
246,30200,64483.3
247,33033.3,66300
248,27733.3,65016.7
249,34583.3,58500
250,38716.7,62316.7
251,34583.3,58533.3
252,32533.3,65650
253,24333.3,67016.7
254,31650,69466.7
255,31483.3,68566.7
256,32866.7,60733.3
257,33733.3,58666.7
258,26783.3,63433.3
259,26483.3,64966.7
260,34583.3,58483.3
261,38683.3,62383.3
262,29516.7,63700
263,28466.7,59366.7
264,31183.3,64316.7
265,34918.6,58407.2
266,32516.7,58933.3
267,32900,68783.3
268,35666.7,58433.3
269,32900,68783.3
270,32433.3,63250
271,31072.2,69503.6
272,28250,64050
273,26633.3,64833.3
274,26550,63666.7
275,26850,65383.3
276,26550,63666.7
277,27083.3,55450
278,33316.7,61066.7
279,33916.7,60933.3
280,36900,60150
281,35066.7,59650
282,34716.7,64633.3
283,35066.7,58150
284,36066.7,63883.3
285,28616.7,61650
286,33666.7,65466.7
287,30152.2,68660.3
288,26466.7,64200
289,31974.2,68423.1
290,28666.7,66566.7
291,25816.7,63816.7
292,27266.7,62950
293,28350,64783.3
294,28116.7,63283.3
295,41350,71516.7
296,34616.7,58566.7
297,34783.3,58350
298,32916.7,68866.7
299,31650,59900
300,34900,60366.7
301,32416.7,63250
302,37450,63233.3
303,32800,60733.3
304,32400,58750
305,35466.7,69583.3
306,38850,62083.3
307,34700,58500
308,36600,61366.7
309,34600,58516.7
310,34650,58583.3
311,34633.3,58500
312,26816.7,65250
313,34683.3,58466.7
314,34616.7,58533.3
315,31833.3,64500
316,32616.7,64983.3
317,39883.3,62583.3
318,27466.7,55866.7
319,34600,58516.7
320,33116.7,58766.7
321,34583.3,58566.7
322,34116.7,59433.3
323,34633.3,58700
324,34616.7,58683.3
325,31933.3,65066.7
326,36983.3,60316.7
327,33033.3,59016.7
328,32616.7,64983.3
329,28366.7,64783.3
330,33450,67633.3
331,27433.3,55883.3
332,34666.7,58516.7
333,40783.3,71666.7
334,31566.7,68533.3
335,31566.7,68533.3
336,33150,68483.3
337,33716.7,61050
338,27566.7,64516.7
339,34533.3,58750
340,38166.7,63250
341,34666.7,58516.7
342,31633.3,68300
343,31450,64516.7
344,34516.7,58750
345,31483.3,64566.7
346,34833.3,64583.3
347,34833.3,58433.3
348,27766.7,63983.3
349,32916.7,68833.3
350,27450,65650
351,31216.7,59983.3
352,38716.7,62200
353,30666.7,64166.7
354,27483.3,55100
355,28233.3,59466.7
356,31850,59016.7
357,27866.7,64850
358,31333.3,64166.7
359,33033.3,60633.3
360,27566.7,64516.7
361,31033.3,64483.3
362,34800,58216.7
363,37250,56916.7
364,33433.3,60133.3
365,32650,66466.7
366,34616.7,58466.7
367,30700,64066.7
368,29150,62650
369,31983.3,64566.7
370,27516.7,65616.7
371,38816.7,62100
372,35000,57850
373,32800,60733.3
374,31333.3,64550
375,34783.3,58383.3
376,33350,61483.3
377,36700,63366.7
378,35483.3,60850
379,36983.3,60283.3
380,30883.3,63133.3
381,23550,65366.7
382,27716.7,63533.3
383,27083.3,65250
384,30950,58800
385,34716.7,60600
386,32083.3,65583.3
387,32816.7,70050
388,33700,61316.7
389,34816.7,58250
390,31366.7,64100
391,38733.3,62166.7
392,34766.7,58200
393,26616.7,58666.7
394,26616.7,58666.7
395,29350,56833.3
396,28566.7,64550
397,34783.3,58466.7
398,32950,61550
399,34840.3,58097.5
400,32833.3,62300
401,32166.7,58400
402,39233.3,68750
403,37683.3,59400
404,28300,65366.7
405,32950,68816.7
406,34766.7,58233.3
407,32533.3,65650
408,34683.3,58316.7
409,31566.7,68300
410,31983.3,58966.7
411,32566.7,65250
412,31933.3,65200
413,28433.3,65733.3
414,27400,55900
415,32166.7,64483.3
416,33016.7,60616.7
417,34683.3,58433.3
418,34600,58516.7
419,30850,64983.3
420,31583.3,63533.3
421,32533.3,65650
422,33666.7,59650
423,34500,58683.3
424,29900,63716.7
425,31450,63200
426,30816.7,63716.7
427,31447.5,68410.3
428,31583.3,63533.3
429,30783.3,57916.7
430,34600,58483.3
431,34616.7,58533.3
432,38866.7,62116.7
433,31400,64516.7
434,32166.7,64483.3
435,32950,65050
436,31933.3,65066.7
437,33033.3,66300
438,32166.7,64483.3
439,31533.3,63383.3
440,25866.7,57883.3
441,33350,61450
442,31683.3,65016.7
443,28483.3,65783.3
444,34683.3,58333.3
445,34600,58450
446,25866.7,64583.3
447,31216.7,69450
448,28983.3,59083.3
449,31450,63983.3
450,33233.3,60333.3
451,31316.7,62833.3
452,31316.7,62833.3
453,33300,62183.3
454,35000,59016.7
455,31654.2,68285.3
456,31150,64366.7
457,31150,64366.7
458,36966.7,60316.7
459,27450,65650
460,36716.7,56733.3
461,31833.3,58816.7
462,31266.7,66600
463,33300,62050
464,31083.3,64316.7
465,34683.3,58333.3
466,29000,68183.3
467,37383.3,62816.7
468,32816.7,60716.7
469,31100,66550
470,26750,65283.3
471,31400,64516.7
472,29816.7,63333.3
473,34000,61600
474,34800,58366.7
475,37683.3,59400
476,31266.7,64483.3
477,29283.3,67033.3
478,27333.3,62933.3
479,34583.3,58566.7
480,27283.3,60416.7
481,31633.3,64950
482,31366.7,64250
483,27516.7,65616.7
484,33333.3,69133.3
485,34633.3,58583.3
486,34700,58333.3
487,34733.3,58383.3
488,34533.3,58550
489,34750,58250
490,34833.3,67900
491,38850,62100
492,28483.3,63800
493,32166.7,63883.3
494,32666.7,62100
495,38883.3,61966.7
496,29016.7,59083.3
497,34683.3,58516.7
498,31733.3,64400
499,32933.3,60583.3
500,27583.3,60716.7
501,28483.3,59616.7
502,33033.3,60783.3
503,33183.3,60666.7
504,34533.3,58750
505,34683.3,58416.7
506,31300,64300
507,30466.7,64316.7
508,34616.7,58550
509,33100,64350
510,30683.3,64333.3
511,27583.3,65616.7
512,37983.3,63566.7
513,34533.3,58550
514,29350,64816.7
515,24166.7,65333.3
516,31650,68583.3
517,28483.3,65450
518,29950,67366.7
519,27950,62633.3
520,35833.3,59033.3
521,31200,61833.3
522,35116.7,61683.3
523,35266.7,57583.3
524,54500,67783.3
525,40800,63000
526,30933.3,60650
527,33900,64383.3
528,36600,62666.7
529,36216.7,65450
530,23616.7,63216.7
531,34450,58533.3
532,32609.2,60168.9
533,27166.7,64900
534,29483.3,67516.7
535,27416.7,59050
536,36700,59783.3
537,34533.3,58466.7
538,34967.2,58660.3
539,32816.7,60833.3
540,40800,63866.7
541,40800,63866.7
542,37716.7,62816.7
543,54033.3,67366.7
544,33733.3,63100
545,31883.3,60016.7
546,35650,63233.3
547,22600,63816.7
548,35433.3,63900
549,23250,62166.7
550,34633.3,58516.7
551,35392.2,57338.1
552,24483.3,65066.7
553,32150,58183.3
554,35383.3,57800
555,30150,60350
556,29466.7,60216.7
557,38633.3,62533.3
558,33749.7,61966.9
559,27816.7,61383.3
560,36100,59666.7
561,34633.3,58483.3
562,26700,58666.7
563,37400,59500
564,23766.7,64683.3
565,51650,72300
566,37800,67683.3
567,35428.1,60174.2
568,34583.3,68550
569,27383.3,54766.7
570,32383.3,59666.7
571,25416.7,65533.3
572,34497.5,61553.3
573,36600,62666.7
574,34967.2,58660.3
575,38150,60166.7
576,38150,60166.7
577,33883.3,64700
578,36800,70700
579,43716.7,71216.7
580,34633.3,58466.7
581,34116.7,66450
582,27950,65866.7
583,24716.7,65416.7
584,35016.7,64050
585,33366.7,60650
586,34683.3,58416.7
587,34683.3,58416.7
588,36350,61033.3
589,31983.3,60583.3
590,31116.7,64483.3
591,23466.7,64983.3
592,37066.7,65400
593,23400,65000
594,31733.3,67983.3
595,45800,67483.3
596,37133.3,56883.3
597,27400,65433.3
598,35650,63233.3
599,34683.3,58416.7
600,35650,60483.3
601,40700,66150
602,34316.7,59433.3
603,32666.7,65583.3
604,27416.7,63483.3
605,29633.3,57950
606,44216.7,66150
607,44216.7,66150
608,26866.7,64400
609,26233.3,65116.7
610,26233.3,65116.7
611,37266.7,64566.7
612,32666.7,69366.7
613,32583.3,69333.3
614,30566.7,67533.3
615,34800,66316.7
616,54800,68300
617,25700,63066.7
618,22583.3,66350
619,23550,64416.7
620,26683.3,64616.7
621,36500,63833.3
622,27450,56983.3
623,35123.3,58888.3
624,32683.3,58883.3
625,36450,61433.3
626,33650,61450
627,33266.7,60700
628,23300,65350
629,28683.3,66783.3
630,36133.3,61016.7
631,31233.3,64316.7
632,32900,60700
633,35150,65950
634,29400,62783.3
635,28466.7,62833.3
636,37533.3,64350
637,30866.7,61366.7
638,30866.7,61366.7
639,31466.7,68700
640,31583.3,66250
641,28650,57483.3
642,33216.7,68883.3
643,28683.3,66783.3
644,36566.7,58516.7
645,36566.7,58516.7
646,27116.7,64416.7
647,33033.3,63516.7
648,31783.3,58300
649,27333.3,56116.7
650,34716.7,59316.7
651,34516.7,59683.3
652,28566.7,67216.7
653,27100,64916.7
654,28366.7,64383.3
655,27600,63500
656,23200,66050
657,23216.7,66650
658,28683.3,63150
659,28683.3,63150
660,34783.3,58400
661,33366.7,69133.3
662,33366.7,69133.3
663,33566.7,69016.7
664,26333.3,65216.7
665,26333.3,65216.7
666,31566.7,60983.3
667,22666.7,64033.3
668,24833.3,61466.7
669,25416.7,65583.3
670,24800,65750
671,23850,65466.7
672,30866.7,67400
673,30400,64116.7
674,32716.7,68583.3
675,30400,66550
676,30400,66550
677,30197.8,69265.3
678,30197.8,69265.3
679,48433.3,71850
680,30603.6,68643.1
